line,pred,y,n_fields,population
C1.470.161,8.6034419185252,-0.28416622,8,470
C1.497.94,8.59589922105854,-16.21796,8,497
C1.474.74,8.578826894682232,-3.9838867,8,474
C1.479.18,8.577551588558938,8.291701,6,479
C1.487.100,8.576161309751205,-13.668799,5,487
C1.470.49,8.57615252117076,5.4961586,8,470
C1.474.42,8.57558855117106,-3.328987,8,474
C1.497.10,8.57521032256127,0.2765904,8,497
C1.452.138,8.57351823067594,11.778396,8,452
C1.463.151,8.569783608533603,9.4204235,6,463
C1.497.120,8.56953765333682,-14.844572,8,497
C1.479.78,8.565185309238798,-0.4270486,6,479
C1.452.164,8.557279707111144,3.5497956,8,452
C1.459.169,8.557232161005661,-2.2573962,5,459
C1.496.220,8.554495711374807,16.038643,7,496
C1.474.80,8.55312551482608,-6.3945494,8,474
C1.470.121,8.551164611395523,-6.109729,8,470
C1.454.106,8.545735340330344,-8.76334,8,454
C1.453.147,8.541191458925258,0.61221695,6,453
C1.452.86,8.53914116256375,16.291779,7,452
C1.474.144,8.536046956854635,-7.879546,7,474
C1.453.103,8.531094467525527,0.835767,6,453
C1.497.9,8.52899383168615,3.6882858,7,497
C1.496.171,8.527625533755531,16.739529,8,496
C1.463.126,8.526519161660808,-0.4801765,6,463
C1.453.111,8.524428044269483,3.2083669,6,453
C1.470.204,8.520738246471428,-7.5612664,8,470
C1.463.170,8.516258334652502,6.3539066,6,463
C1.497.17,8.51234006474627,-18.848684,8,497
C1.497.73,8.510321571410032,-9.373859,8,497
C1.474.113,8.509476554657786,-2.913262,8,474
C1.454.43,8.50944861837349,14.764598,8,454
C1.459.149,8.508374582473394,3.7998314,6,459
C1.452.13,8.508072862615299,7.2561865,6,452
C1.479.95,8.5065185766251,-8.408415,6,479
C1.459.174,8.500492209083308,2.3202648,6,459
C1.454.89,8.48540696072728,3.331832,7,454
C1.479.62,8.48223134983168,-10.673049,6,479
C1.497.206,8.477562142737641,1.8638779,8,497
C1.452.24,8.475815166686237,8.141126,7,452
C1.470.272,8.463136808183751,-8.728619,7,470
C1.470.38,8.460355374455876,-2.0806663,8,470
C1.496.209,8.458622500299837,17.242239,7,496
C1.479.5,8.454383603362205,-12.082159,5,479
C1.463.169,8.421297828063889,-11.219393,6,463
C1.454.150,8.414149710234287,-2.655665,8,454
C1.452.134,8.400958965439402,5.2833433,7,452
C1.470.149,8.400870644117504,5.2541175,7,470
C1.459.52,8.39560035515503,1.9440647,6,459
C1.454.149,8.393808226337198,-5.2387524,8,454
C1.454.85,8.393472120958615,-0.33479205,7,454
C1.454.51,8.393398096760361,11.935836,7,454
